Movie,count,guest_ids,guest_names,movie_id
Night Club,2,"[9805, 15661]","['Sally Kellerman', 'Clint Howard']",304029
Back Street,2,"[83913, 15978]","['Joseph Mell', 'Charles Drake']",43017
Taras Bulba,2,"[135066, 12295]","['Abraham Sofaer', 'Perry Lopez']",43012
The Power,2,"[1213151, 15942]","['Lawrence Montaigne', 'Celia Lovsky']",46015
My Blue Heaven,2,"[1209, 2021]","['Elinor Donahue', 'Jane Wyatt']",76011
Smoke and Mirrors: The Story of Tom Savini,2,"[5695, 9811]","['Sid Haig', 'Fred Williamson']",298043
Dakota Incident,2,"[13786, 16017]","['Whit Bissell', 'Skip Homeier']",75365
How To Frame A Figg,2,"[16070, 16102]","['Bill Zuckert', 'Yvonne Craig']",44157
The Arrival,2,"[6451, 22048]","['Michael J. Pollard', 'Robert Sampson']",132369
One Spy Too Many,2,"[15744, 16102]","['David Opatoshu', 'Yvonne Craig']",79466
